#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
6.0,0.0,1.56071,0.0,0.33333,0.16667,0.16667,0.16667,0.16667,
6.0,1.0,1.56102,0.0,0.3329,0.1671,0.1671,0.1658,0.1671,
6.0,8.0,1.55942,0.0,0.33509,0.16887,0.16227,0.16623,0.16755,
6.0,11.0,1.55972,0.0,0.33466,0.16866,0.16202,0.166,0.16866,
6.0,13.0,1.55975,0.00765,0.33467,0.168,0.16267,0.168,0.16667,
6.0,11.0,1.56042,0.02619,0.33378,0.16755,0.16622,0.16622,0.16622,
6.0,12.0,1.56134,0.02625,0.33244,0.16822,0.16689,0.16555,0.16689,
6.0,6.0,1.56161,0.07589,0.33156,0.1764,0.16446,0.16313,0.16446,
6.0,4.0,1.56344,0.08924,0.32891,0.17507,0.16976,0.1618,0.16446,
6.0,5.0,1.56369,0.08932,0.32846,0.17553,0.17021,0.1609,0.16489,
6.0,9.0,1.56529,0.0756,0.32617,0.17584,0.16913,0.16241,0.16644,
6.0,11.0,1.5653,0.07127,0.32614,0.17655,0.16846,0.16307,0.16577,
6.0,11.0,1.5658,0.07536,0.32523,0.17814,0.16869,0.16329,0.16464,
6.0,8.0,1.5673,0.09511,0.32301,0.17766,0.16689,0.16958,0.16285,
6.0,11.0,1.56699,0.08583,0.32341,0.17862,0.16509,0.16915,0.16373,
6.0,15.0,1.56638,0.07603,0.32425,0.17848,0.16485,0.1703,0.16212,
6.0,15.0,1.56758,0.07623,0.3224,0.17897,0.1653,0.17077,0.16257,
6.0,17.0,1.56705,0.07616,0.32328,0.17809,0.16438,0.17123,0.16301,
6.0,17.0,1.56765,0.07626,0.32236,0.17833,0.16461,0.17147,0.16324,
6.0,18.0,1.56917,0.07209,0.31999,0.17931,0.16552,0.17104,0.16414,
6.0,10.0,1.56842,0.11613,0.32103,0.17623,0.16393,0.17623,0.16257,
6.0,12.0,1.56785,0.11187,0.32191,0.17535,0.16301,0.17672,0.16301,
6.0,14.0,1.56788,0.11185,0.32187,0.17607,0.16231,0.17607,0.16369,
6.0,19.0,1.56699,0.11184,0.32316,0.17615,0.16227,0.17615,0.16227,
6.0,20.0,1.56724,0.11199,0.32267,0.17664,0.16272,0.17664,0.16133,
6.0,23.0,1.56677,0.11207,0.32307,0.17763,0.16224,0.17763,0.15944,
6.0,25.0,1.56678,0.11211,0.32303,0.17697,0.16292,0.17837,0.1587,
6.0,24.0,1.5643,0.13077,0.32678,0.17672,0.16269,0.17672,0.15708,
6.0,26.0,1.5638,0.13066,0.3277,0.1744,0.16315,0.17722,0.15752,
6.0,21.0,1.56561,0.15149,0.32402,0.18297,0.16061,0.17598,0.15642,
5.0,22.0,1.0608,0.16073,0.0,0.38371,0.40698,0.0,0.2093,
5.0,24.0,1.06114,0.14815,0.0,0.38166,0.40833,0.0,0.21,
5.0,29.0,0.94981,0.13708,0.0,0.6,0.18991,0.0,0.21009,
5.0,35.0,0.95071,0.11992,0.0,0.59932,0.19185,0.0,0.20883,
5.0,35.0,0.95071,0.11992,0.0,0.59932,0.19185,0.0,0.20883,
5.0,28.0,0.94551,0.15736,0.0,0.60403,0.18959,0.0,0.20638,
5.0,30.0,0.94699,0.14621,0.0,0.60269,0.19023,0.0,0.20707,
5.0,32.0,0.94667,0.1402,0.0,0.60304,0.19087,0.0,0.20608,
5.0,33.0,0.94742,0.13856,0.0,0.60237,0.1912,0.0,0.20643,
5.0,39.0,0.94826,0.12324,0.0,0.60171,0.19316,0.0,0.20513,
5.0,41.0,0.94978,0.12318,0.0,0.60034,0.19382,0.0,0.20583,
5.0,41.0,0.94978,0.12318,0.0,0.60034,0.19382,0.0,0.20583,
5.0,17.0,1.05152,0.22886,0.0,0.37396,0.42834,0.0,0.19769,
5.0,21.0,1.05004,0.2242,0.0,0.37478,0.42953,0.0,0.19569,
5.0,25.0,1.04987,0.21679,0.0,0.37562,0.42906,0.0,0.19532,
5.0,22.0,1.04834,0.25426,0.0,0.37042,0.43523,0.0,0.19435,
5.0,18.0,1.34802,0.26292,0.0,0.36467,0.25084,0.17986,0.20462,
5.0,19.0,1.34761,0.26122,0.0,0.36528,0.25126,0.18016,0.20331,
5.0,19.0,1.34762,0.26122,0.0,0.36528,0.25126,0.18016,0.20331,
5.0,20.0,1.05425,0.26491,0.0,0.36257,0.43379,0.0,0.20364,
5.0,23.0,1.05408,0.26014,0.0,0.36438,0.43262,0.0,0.203,
5.0,26.0,1.05515,0.25295,0.0,0.36621,0.42977,0.0,0.20401,
5.0,22.0,1.34926,0.27838,0.0,0.36377,0.25085,0.1877,0.19767,
5.0,23.0,1.34872,0.27676,0.0,0.36438,0.25126,0.18635,0.198,
5.0,22.0,1.34815,0.28367,0.0,0.36544,0.25085,0.18604,0.19767,
5.0,22.0,1.34815,0.28367,0.0,0.36544,0.25085,0.18604,0.19767,
5.0,23.0,1.34759,0.27649,0.0,0.36604,0.25126,0.18469,0.198,
5.0,24.0,1.34753,0.28089,0.0,0.36665,0.25002,0.18499,0.19833,
5.0,24.0,1.34753,0.28089,0.0,0.36665,0.25002,0.18499,0.19833,
5.0,26.0,1.34753,0.27316,0.0,0.36621,0.25085,0.18394,0.199,
4.0,30.0,1.05816,0.27446,0.0,0.0,0.45797,0.31515,0.22688,
5.0,10.0,1.35004,0.3247,0.2082,0.0,0.35929,0.25452,0.17798,
5.0,10.0,1.35058,0.32624,0.2082,0.0,0.35762,0.25619,0.17798,
5.0,9.0,1.35021,0.32957,0.20688,0.0,0.35822,0.25662,0.17828,
5.0,9.0,1.35021,0.32957,0.20688,0.0,0.35822,0.25662,0.17828,
5.0,10.0,1.35019,0.3259,0.20723,0.0,0.35882,0.25537,0.17857,
5.0,12.0,1.35127,0.32118,0.20792,0.0,0.35667,0.25623,0.17917,
5.0,13.0,1.35027,0.3181,0.20694,0.0,0.35787,0.25709,0.17809,
