RabA,RabB,RabC,RabD,RabE,
3939557.188,1969778.594,1969778.594,1969778.594,1969778.594,
3924163.384,1969778.594,1969778.594,1969778.594,1969778.594,
3908769.57999,1969778.594,1969778.594,1969778.594,1969778.594,
3877981.97199,1969778.594,1969778.594,1969778.594,1969778.594,
3862588.16799,1969778.594,1969778.594,1969778.594,1969778.594,
3862588.16799,1969778.594,1969778.594,1969778.594,1969778.594,
3831800.55998,1969778.594,1969778.594,1969778.594,1969778.594,
3816406.75598,1969778.594,1969778.594,1969778.594,1969778.594,
3785619.14797,1969778.594,1969778.594,1969778.594,1969778.594,
3770225.34397,1969778.594,1969778.594,1969778.594,1969778.594,
3724043.93196,1969778.594,1969778.594,1969778.594,1969778.594,
3708650.12796,1969778.594,1969778.594,1969778.594,1969778.594,
3693256.32396,1969778.594,1969778.594,1969778.594,1969778.594,
3677862.51996,1969778.594,1969778.594,1969778.594,1969778.594,
3662468.71595,1969778.594,1969778.594,1969778.594,1969778.594,
3647074.91195,1969778.594,1969778.594,1969778.594,1969778.594,
3616287.30395,1969778.594,1969778.594,1969778.594,1969778.594,
3616287.30395,1969778.594,1969778.594,1969778.594,1969778.594,
3600893.49994,1969778.594,1969778.594,1969778.594,1969778.594,
3554712.08794,1969778.594,1969778.594,1969778.594,1969778.594,
3539318.28393,1969778.594,1969778.594,1969778.594,1969778.594,
3539318.28393,1969778.594,1969778.594,1969778.594,1969778.594,
3523924.47993,1969778.594,1969778.594,1969778.594,1969778.594,
3508530.67593,1969778.594,1969778.594,1969778.594,1969778.594,
3493136.87192,1969778.594,1969778.594,1969778.594,1969778.594,
3477743.06792,1969778.594,1969778.594,1969778.594,1969778.594,
3462349.26392,1969778.594,1969778.594,1969778.594,1969778.594,
3462349.26392,1969778.594,1969778.594,1969778.594,1969778.594,
3462349.26392,1969778.594,1969778.594,1969778.594,1969778.594,
3462349.26392,1969778.594,1969778.594,1969778.594,1969778.594,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
0.0,5324371.2299,3693256.32396,3893375.77599,2062141.41802,
